week_start,week_end,driver_id,vendor_treatment,culture_feedback,appreciation_rating,appreciation_reason
2025-07-06,2025-07-12,D003,"Great interactions with vendors, felt appreciated.",Loved the family-like environment at DBJ this week.,8,
2025-07-06,2025-07-12,D004,Excellent vendor interactions this week.,"Company culture was positive, leadership communicated clearly.",10,
2025-07-13,2025-07-19,D001,Vendors were polite and efficient in loading and unloading.,"Company culture was positive, leadership communicated clearly.",10,
2025-07-13,2025-07-19,D002,Vendors were polite and efficient in loading and unloading.,"DBJ culture was supportive, I saw teamwork and kindness.",8,
2025-07-13,2025-07-19,D003,Vendors were polite and efficient in loading and unloading.,"Company culture was positive, leadership communicated clearly.",10,
2025-07-13,2025-07-19,D004,Vendors were polite and efficient in loading and unloading.,Good examples of DBJ values in action.,9,
2025-07-20,2025-07-26,D001,Vendors were polite and efficient in loading and unloading.,Loved the family-like environment at DBJ this week.,10,
2025-07-20,2025-07-26,D002,Vendors were polite and efficient in loading and unloading.,Good examples of DBJ values in action.,8,
2025-07-20,2025-07-26,D003,Excellent vendor interactions this week.,"DBJ culture was supportive, I saw teamwork and kindness.",10,
2025-07-20,2025-07-26,D004,"Vendors were respectful and helpful, they treated me well.",Good examples of DBJ values in action.,8,
2025-07-27,2025-08-02,D001,"Vendors were respectful and helpful, they treated me well.",Good examples of DBJ values in action.,10,
2025-07-27,2025-08-02,D002,Vendors were polite and efficient in loading and unloading.,Good examples of DBJ values in action.,8,
2025-07-27,2025-08-02,D003,"Great interactions with vendors, felt appreciated.","Company culture was positive, leadership communicated clearly.",8,
2025-07-27,2025-08-02,D004,Vendors were polite and efficient in loading and unloading.,Good examples of DBJ values in action.,10,
2025-08-03,2025-08-09,D001,Excellent vendor interactions this week.,"Company culture was positive, leadership communicated clearly.",9,
2025-08-03,2025-08-09,D002,"Great interactions with vendors, felt appreciated.","DBJ culture was supportive, I saw teamwork and kindness.",9,
2025-08-03,2025-08-09,D003,Vendors were polite and efficient in loading and unloading.,"Company culture was positive, leadership communicated clearly.",9,
2025-08-03,2025-08-09,D004,"Vendors were respectful and helpful, they treated me well.","DBJ culture was supportive, I saw teamwork and kindness.",9,
2025-08-10,2025-08-16,D001,Vendors were polite and efficient in loading and unloading.,"Company culture was positive, leadership communicated clearly.",8,
2025-08-10,2025-08-16,D002,"Great interactions with vendors, felt appreciated.",Good examples of DBJ values in action.,8,
2025-08-10,2025-08-16,D003,"Great interactions with vendors, felt appreciated.",Good examples of DBJ values in action.,10,
2025-08-10,2025-08-16,D004,Excellent vendor interactions this week.,Good examples of DBJ values in action.,9,
2025-08-17,2025-08-23,D001,Excellent vendor interactions this week.,Good examples of DBJ values in action.,8,
2025-08-17,2025-08-23,D002,"Vendors were respectful and helpful, they treated me well.","Company culture was positive, leadership communicated clearly.",10,
2025-08-17,2025-08-23,D003,Vendors were polite and efficient in loading and unloading.,"DBJ culture was supportive, I saw teamwork and kindness.",9,
2025-08-17,2025-08-23,D004,"Great interactions with vendors, felt appreciated.","DBJ culture was supportive, I saw teamwork and kindness.",10,
2025-08-24,2025-08-30,D001,"Vendors were respectful and helpful, they treated me well.","Company culture was positive, leadership communicated clearly.",8,
2025-08-24,2025-08-30,D002,Vendors were polite and efficient in loading and unloading.,Loved the family-like environment at DBJ this week.,8,
2025-08-24,2025-08-30,D003,"Vendors were respectful and helpful, they treated me well.",Good examples of DBJ values in action.,10,
2025-08-24,2025-08-30,D004,Vendors were polite and efficient in loading and unloading.,"Company culture was positive, leadership communicated clearly.",8,
2025-08-31,2025-08-31,D001,"Vendors were respectful and helpful, they treated me well.",Loved the family-like environment at DBJ this week.,9,
2025-08-31,2025-08-31,D002,Excellent vendor interactions this week.,Loved the family-like environment at DBJ this week.,9,
2025-08-31,2025-08-31,D003,"Great interactions with vendors, felt appreciated.",Loved the family-like environment at DBJ this week.,9,
2025-08-31,2025-08-31,D004,Vendors were polite and efficient in loading and unloading.,"Company culture was positive, leadership communicated clearly.",8,
